,0
0,Arizona
1,Arkansas
2,Connecticut
3,Delaware
4,Florida
5,Georgia
6,Idaho
7,Illinois
8,Indiana
9,Kansas
10,Kentucky
11,Louisiana
12,Maine
13,Maryland
14,Massachusetts
15,Michigan
16,Minnesota
17,Mississippi
18,Missouri
19,Montana
20,Nebraska
21,Nevada
22,New Hampshire
23,New Jersey
24,North Carolina
25,North Dakota
26,Oklahoma
27,Rhode Island
28,South Carolina
29,South Dakota
30,Tennessee
31,Utah
32,Vermont
33,Virginia
34,West Virginia
35,Wisconsin
36,Wyoming
